id,category,app,evidence_url
59,Data / SEO / Scraping,Waterfall.io,https://waterfall.io/
60,Data / SEO / Scraping,Clay,https://www.clay.com/
61,Developer / Infra,GitHub,https://docs.github.com/en/rest/authentication/
62,Developer / Infra,Vercel,https://vercel.com/docs/rest-api
63,Developer / Infra,Netlify,https://docs.netlify.com/api-and-cli-guides/api-guides/get-started-with-api/
64,Developer / Infra,Cloudflare,https://developers.cloudflare.com/api/
65,Developer / Infra,Supabase,https://supabase.com/docs/guides/api
66,Developer / Infra,Neo4j,https://neo4j.com/docs/api/
67,Developer / Infra,Snowflake,https://docs.snowflake.com/en/developer-guide/sql-api/authenticating
68,Developer / Infra,MongoDB Atlas,https://www.mongodb.com/docs/atlas/configure-api-access/
69,Developer / Infra,Datadog,https://docs.datadoghq.com/api/latest/authentication/
70,Developer / Infra,Sentry,https://docs.sentry.io/api/auth/
71,Productivity,Notion,https://developers.notion.com/reference/authentication
72,Productivity,Airtable,https://airtable.com/developers/web/api/authentication
73,Productivity,Linear,https://linear.app/developers/graphql
74,Productivity,Jira,https://developer.atlassian.com/cloud/jira/platform/rest/v3/
75,Productivity,Asana,https://developers.asana.com/docs/authentication
76,Productivity,Monday.com,https://developer.monday.com/api-reference/docs/authentication
77,Productivity,ClickUp,https://developer.clickup.com/docs/authentication
78,Productivity,Coda,https://coda.io/developers/apis/v1
79,Productivity,Smartsheet,https://developers.smartsheet.com/api/smartsheet/openapi
80,Productivity,Harvest,https://help.getharvest.com/api-v2/introduction/overview/general/
81,Finance,Stripe,https://docs.stripe.com/keys
82,Finance,Plaid,https://plaid.com/docs/api/
83,Finance,Binance,https://developers.binance.com/docs/binance-spot-api-docs/rest-api/general-api-information
84,Finance,Paygent Connect,https://paygent.com/
85,Finance,iPayX,https://ipayx.ai/docs
86,Finance,QuickBooks,https://developer.intuit.com/app/developer/qbo/docs/develop/authentication-and-authorization
87,Finance,Xero,https://developer.xero.com/documentation/guides/oauth2/overview/
88,Finance,Brex,https://developer.brex.com/guides/authentication
89,Finance,Ramp,https://docs.ramp.com/
90,Finance,PitchBook,https://pitchbook.com/
91,AI / Research / Media,NotebookLM,https://cloud.google.com/gemini
92,AI / Research / Media,Otter AI,https://help.otter.ai/hc/en-us
93,AI / Research / Media,Fathom,https://fathom.video/
94,AI / Research / Media,Consensus,https://consensus.app/
95,AI / Research / Media,Reducto,https://docs.reducto.ai/
96,AI / Research / Media,Devin,https://docs.devin.ai/
97,AI / Research / Media,higgsfield,https://higgsfield.ai/cli
98,AI / Research / Media,Mermaid CLI,https://github.com/mermaid-js/mermaid-cli
99,AI / Research / Media,YouTube Transcript,https://transcriptapi.com/
100,AI / Research / Media,Grain,https://grain.com/
